;DC;FOAF;EDM;CIDOC-CRM;MARC21;ISBD;IPTC;EAD;ISBD;GEONAMES;SKOS;OWL;;;;;;
Subject;dcterms:subject;foaf:person;;P129 is about (is subject of);;;;<subject>;;;skos:Concept;;;;;;;
Author;dcterms: creator/agent;foaf:person;;;;;6.5. Creator;<author>;;;;;;;;;;
Contributor;dc: contributor;foaf:person;dc:contributor;p11_ participated in;;;10.11. Image Creator/11.1.3. Contribution Description;;;;;;;;;;;
Creator;dc: creator;foaf:made;dc:creator;P94 has created (was created by);;;;<origination>;4.6 Name of manufacturer;;;;;;;;;
Owner;dcterms: provenance;foaf:person;edm:provider;P51 has former or current owner (is former or current owner of)/p75_possessess;;;"6.20. Source/10.14 Image Supplier
";;;;;;;;;;;
Publisher;dcterms: publisher;;dc:publisher;;;;;<publisher>;4.2 Name of publisher, distributor, etc. ;;;;;;;;;
Relation;dcterms: relation/dcterms:isReferencedBy;foaf: primaryTopicOf/foaf:topic;edm:isRelatedTo/edm:isSimilarTo/edm:wasPresentAt/dcterms:isPartOf/dcterms:isReferencedBy;p136_was based on/p15_was influenced by/p69_has association with/P121_was_present_at/P67 refers to (is referred to by)/P69 is associated with;$b -- Name of publisher, distributor, etc. (R);;;<relation>/<ref>/<relatedmaterial>;;;;;;;;;;
Type;dcterms: type/dcterms:MediaType;foaf: type/foaf:Document/foaf:Image;edm:type/edm:object;P2 has type (is type of): E55 Type/P65 shows visual item (is shown by);;;;;"5.1 Specific material designation and extent of
resource 
";;;;;;;;;
Material;;;;;;;;;;;;;;;;;;
Medium;dcterms: medium;;dcterms:medium;;340 Physical medium;;;<phystech>;;;;;;;;;;
Represents;;foaf:depicts/depiction;edm:incorporates/edm:isRepresentationOf; P62 depicts (is depicted by)/P70 documents (is documented in)/P138 represents (has representation);skos:ifTopConceptOf;;10.2. Artwork or Object in the Image/10.28. Person Shown in the Image;;;;;;;;;;;
location;dcterms:location;;;P55 has current location (currently holds);;;;;;;;;;;;;;
description;dcterms:description;; dc:description;;;;11.1.2. Content Description/11.10.2. Description;<did>;;;;;;;;;;
title;dcterms:title;;;P102 has title (is title of);130 Main entry--uniform title OR 240 Uniform title;;11.1.17. Title;<title>;1.1 Title proper ;;;;;;;;;
alternative title;dcterms:alternative;;;;;;;;;;;;;;;;;
language;dcterms: language;;edm:language;P72 has language (is language of);546 Language;;;<langmaterial>;;;;;;;;;;
happened at;;;edm:happenedAt/edm:occurredAt/edm:isShownAt;P7 took place at (witnessed);752 Added entry--hierarchical place name;;10.19. Location created;<geogname>/<originalsloc>;;;;;;;;;;
website;;foaf:homepage;edm:WebResource;P4_has_time_span;;;;<href>;;gn:wikipediaArticle;;;;;;;;
format;dc:format/dcterms:hasFormat;;dc:format;;;;;;;;;;;;;;;
event;dcmiterms: event;;edm:Event;E5 Event;;;"10.9. Event
";<event>;;;;;;;;;;
identifier;dcterms:identifier;;;;;;;<identifier>;;;;;;;;;;
;;;;;;;;<genreform>;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
